dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,50.633093,196.506290,0.200000,2.000000,10.000000,50.000000,0.029901
0.200000,51.277940,196.527240,0.845187,3.225935,6.129677,-19.351613,0.034973
0.200000,52.370590,196.570114,1.938678,5.467453,11.207586,25.389541,0.043472
0.200000,53.900610,196.645850,3.470571,7.659469,10.960080,-1.237528,0.055463
0.200000,55.867893,196.770418,5.441794,9.856114,10.983230,0.115748,0.071033
0.200000,58.053243,196.945094,7.634114,10.961599,5.527420,-27.279047,0.088518
0.200000,60.237090,197.158333,9.828348,10.971168,0.047849,-27.397858,0.106177
0.200000,62.418486,197.410468,12.024266,10.979593,0.042125,-0.028616,0.123991
0.200000,64.596446,197.701754,14.221619,10.986761,0.035840,-0.031426,0.141935
0.200000,66.769960,198.032367,16.420133,10.992573,0.029060,-0.033901,0.159985
0.200000,68.937998,198.402394,18.619522,10.996945,0.021856,-0.036021,0.178114
0.200000,71.099523,198.811830,20.819483,10.999805,0.014302,-0.037769,0.196296
0.200000,73.253526,199.260588,23.019735,11.001260,0.007276,-0.035131,0.214503
0.200000,75.398949,199.748476,25.219934,11.000994,-0.001332,-0.043038,0.232706
0.200000,77.534770,200.275209,27.419748,10.999070,-0.009620,-0.041439,0.250874
0.200000,79.660039,200.840424,29.618892,10.995722,-0.016740,-0.035604,0.268980
0.200000,81.773749,201.443644,31.816992,10.990500,-0.026111,-0.046852,0.286993
0.200000,83.875022,202.084329,34.013768,10.983880,-0.033098,-0.034934,0.304884
0.200000,85.962952,202.761830,36.208868,10.975495,-0.041925,-0.044135,0.322623
0.200000,88.036729,203.475437,38.401990,10.965614,-0.049409,-0.037423,0.340182
0.200000,90.095599,204.224360,40.592842,10.954257,-0.056781,-0.036859,0.357535
0.200000,92.138849,205.007738,42.781118,10.941381,-0.064382,-0.038007,0.374653
0.200000,94.165852,205.824653,44.966544,10.927132,-0.071242,-0.034300,0.391513
0.200000,96.176051,206.674135,47.148864,10.911599,-0.077666,-0.032120,0.408090
0.200000,98.168960,207.555164,49.327832,10.894838,-0.083805,-0.030695,0.424362
0.200000,100.144162,208.466683,51.503215,10.876914,-0.089622,-0.029083,0.440308
0.200000,102.101321,209.407602,53.674803,10.857944,-0.094849,-0.026134,0.455909
0.200000,104.040173,210.376808,55.842408,10.838021,-0.099616,-0.023835,0.471148
0.200000,105.960529,211.373170,58.005855,10.817238,-0.103916,-0.021502,0.486008
0.200000,107.862270,212.395547,60.164993,10.795688,-0.107751,-0.019172,0.500477
0.200000,109.745347,213.442793,62.319685,10.773462,-0.111126,-0.016877,0.514542
0.200000,111.609774,214.513760,64.469815,10.750652,-0.114052,-0.014628,0.528192
0.200000,113.455630,215.607308,66.615284,10.727340,-0.116558,-0.012533,0.541418
0.200000,115.283051,216.722307,68.756005,10.703609,-0.118658,-0.010499,0.554212
0.200000,117.092228,217.857639,70.891913,10.679536,-0.120364,-0.008530,0.566568
0.200000,118.883402,219.012205,73.022951,10.655194,-0.121713,-0.006745,0.578482
0.200000,120.656861,220.184924,75.149081,10.630647,-0.122733,-0.005100,0.589949
0.200000,122.412934,221.374738,77.270272,10.605956,-0.123452,-0.003598,0.600968
0.200000,124.151991,222.580613,79.386507,10.581176,-0.123901,-0.002243,0.611536
0.200000,125.874434,223.801537,81.497778,10.556355,-0.124108,-0.001033,0.621652
0.200000,127.580696,225.036526,83.604085,10.531535,-0.124101,0.000034,0.631317
0.200000,129.271237,226.284623,85.705436,10.506753,-0.123908,0.000963,0.640531
0.200000,130.946539,227.544895,87.801842,10.482032,-0.123605,0.001515,0.649296
0.200000,132.607106,228.816436,89.893325,10.457416,-0.123082,0.002614,0.657613
0.200000,134.253462,230.098366,91.979909,10.432919,-0.122482,0.003000,0.665485
0.200000,135.886141,231.389832,94.061621,10.408559,-0.121799,0.003416,0.672914
0.200000,137.505693,232.690001,96.138491,10.384349,-0.121050,0.003747,0.679903
0.200000,139.112675,233.998068,98.210551,10.360299,-0.120253,0.003982,0.686454
0.200000,140.707653,235.313247,100.277831,10.336403,-0.119478,0.003876,0.692570
0.200000,142.291200,236.634774,102.340367,10.312681,-0.118611,0.004334,0.698256
0.200000,143.863893,237.961908,104.398194,10.289131,-0.117748,0.004318,0.703513
0.200000,145.426313,239.293924,106.451343,10.265747,-0.116923,0.004123,0.708345
0.200000,146.979041,240.630115,108.499847,10.242522,-0.116125,0.003991,0.712754
0.200000,148.522656,241.969789,110.543735,10.219436,-0.115429,0.003481,0.716744
0.200000,150.057743,243.312272,112.583036,10.196508,-0.114641,0.003939,0.720317
0.200000,151.584882,244.656900,114.617779,10.173713,-0.113975,0.003327,0.723476
0.200000,153.104649,246.003024,116.647986,10.151038,-0.113374,0.003006,0.726222
0.200000,154.617618,247.350004,118.673679,10.128462,-0.112880,0.002471,0.728558
0.200000,156.124363,248.697208,120.694877,10.105988,-0.112368,0.002558,0.730485
0.200000,157.625450,250.044017,122.711595,10.083593,-0.111976,0.001961,0.732005
0.200000,159.121441,251.389813,124.723847,10.061259,-0.111672,0.001522,0.733118
0.200000,160.612893,252.733987,126.731641,10.038968,-0.111453,0.001095,0.733827
0.200000,162.100360,254.075935,128.734983,10.016711,-0.111286,0.000835,0.734131
0.200000,163.584387,255.415053,130.733876,9.994465,-0.111230,0.000279,0.734030
0.200000,165.065515,256.750741,132.728319,9.972215,-0.111252,-0.000112,0.733525
0.200000,166.544278,258.082400,134.718308,9.949944,-0.111352,-0.000497,0.732615
0.200000,168.021203,259.409431,136.703834,9.927634,-0.111554,-0.001013,0.731299
0.200000,169.496809,260.731232,138.684888,9.905266,-0.111835,-0.001405,0.729577
0.200000,170.971611,262.047201,140.661455,9.882834,-0.112162,-0.001633,0.727446
0.200000,172.446114,263.356732,142.633517,9.860313,-0.112607,-0.002224,0.724907
0.200000,173.920814,264.659215,144.601055,9.837687,-0.113129,-0.002613,0.721955
0.200000,175.396202,265.954035,146.564044,9.814945,-0.113708,-0.002893,0.718591
0.200000,176.872758,267.240573,148.522461,9.792086,-0.114297,-0.002948,0.714811
0.200000,178.350953,268.518203,150.476277,9.769082,-0.115020,-0.003614,0.710612
0.200000,179.831249,269.786290,152.425462,9.745925,-0.115782,-0.003811,0.705993
0.200000,181.314099,271.044195,154.369985,9.722612,-0.116568,-0.003927,0.700950
0.200000,182.799944,272.291270,156.309812,9.699139,-0.117364,-0.003978,0.695480
0.200000,184.289216,273.526861,158.244914,9.675506,-0.118163,-0.003999,0.689580
0.200000,185.782333,274.750303,160.175253,9.651695,-0.119057,-0.004470,0.683247
0.200000,187.279703,275.960923,162.100796,9.627716,-0.119892,-0.004174,0.676479
0.200000,188.781719,277.158042,164.021511,9.603576,-0.120705,-0.004062,0.669272
0.200000,190.288764,278.340970,165.937367,9.579280,-0.121478,-0.003866,0.661623
0.200000,191.801205,279.509014,167.848337,9.554848,-0.122161,-0.003413,0.653530
0.200000,193.319395,280.661470,169.754394,9.530284,-0.122819,-0.003291,0.644990
0.200000,194.843669,281.797626,171.655515,9.505608,-0.123381,-0.002813,0.636001
0.200000,196.374348,282.916769,173.551685,9.480848,-0.123802,-0.002101,0.626563
0.200000,197.911736,284.018177,175.442891,9.456032,-0.124075,-0.001370,0.616673
0.200000,199.456120,285.101125,177.329130,9.431197,-0.124177,-0.000509,0.606332
0.200000,201.007766,286.164889,179.210407,9.406381,-0.124080,0.000487,0.595540
0.200000,202.566925,287.208739,181.086733,9.381630,-0.123755,0.001625,0.584298
0.200000,204.133825,288.231950,182.958132,9.356995,-0.123173,0.002907,0.572608
0.200000,205.708674,289.233797,184.824639,9.332535,-0.122303,0.004354,0.560473
0.200000,207.291661,290.213561,186.686300,9.308309,-0.121130,0.005862,0.547898
0.200000,208.808792,291.126557,188.456964,8.853318,-2.274956,-10.769130,0.535503
0.200000,210.098843,291.882644,189.952256,7.476460,-6.884287,-23.046656,0.524707
0.200000,211.072853,292.441062,191.074987,5.613657,-9.314014,-12.148632,0.516405
0.200000,211.727727,292.810461,191.826862,3.759375,-9.271414,0.213000,0.510753
0.200000,212.061366,292.996780,192.209001,1.910693,-9.243409,0.140025,0.507851
0.200000,212.147669,293.044768,192.307748,0.493735,-7.084792,10.793083,0.507099
0.200000,212.147669,293.044768,192.307748,0.000000,-2.468673,23.080596,0.507099
